start_ip,end_ip,join_key,city,region,country,latitude,longitude,postal_code,timezone
106.205.159.56,106.205.159.127,106.205.0.0,Shimla,Himachal Pradesh,IN,31.10442,77.16662,171003,Asia/Kolkata
103.252.147.128,103.252.147.255,103.252.0.0,Hyderābād,Telangana,IN,17.3613,78.4896,500023,Asia/Kolkata
101.183.47.136,101.183.47.159,101.183.0.0,Brisbane,Queensland,AU,-27.45617,153.05917,4171,Australia/Brisbane
101.175.150.224,101.175.150.231,101.175.0.0,West Lamington,Western Australia,AU,-30.74707,121.45248,6430,Australia/Perth
109.143.134.130,109.143.134.131,109.143.0.0,Angleur,Wallonia,BE,50.6113,5.59942,4031,Europe/Brussels
109.119.217.150,109.119.217.255,109.119.0.0,Treviso,Veneto,IT,45.66673,12.2416,31100,Europe/Rome
108.178.85.120,108.178.85.127,108.178.0.0,Cibolo,Texas,US,29.56162,-98.22696,78108,America/Chicago
104.186.125.100,104.186.125.103,104.186.0.0,Atlanta,Georgia,US,33.749,-84.38798,30302,America/New_York
104.143.63.0,104.143.63.255,104.143.0.0,Baxter Springs,Kansas,US,37.02368,-94.7355,66713,America/Chicago
106.242.191.0,106.242.191.127,106.242.0.0,Kinzan,Chungcheongnam-do,KR,36.1006,127.4973,32739,Asia/Seoul
105.82.118.230,105.82.118.233,105.82.0.0,Cairo,Cairo,EG,30.06263,31.24967,,Africa/Cairo
101.51.68.92,101.51.68.102,101.51.0.0,Nakhon Pathom,Nakhon Pathom,TH,13.8196,100.04427,73000,Asia/Bangkok
106.146.95.164,106.146.95.164,106.146.0.0,Osaka,Ōsaka,JP,34.69374,135.50218,543-0062,Asia/Tokyo
1.4.180.84,1.4.180.89,1.4.0.0,Si Chiang Mai,Nong Khai,TH,17.95639,102.58667,43130,Asia/Bangkok
102.106.83.153,102.106.83.153,102.106.0.0,Tunis,Tūnis,TN,36.81897,10.16579,,Africa/Tunis
104.44.230.134,104.44.230.137,104.44.0.0,Redmond,Washington,US,47.67399,-122.12151,98052,America/Los_Angeles
103.15.140.72,103.15.140.255,103.15.0.0,Dhaka,Dhaka,BD,23.7104,90.40744,1000,Asia/Dhaka
1.145.16.152,1.145.16.159,1.145.0.0,Orange,New South Wales,AU,-33.28397,149.10018,2800,Australia/Sydney
107.130.156.184,107.130.156.187,107.130.0.0,Mart,Texas,US,31.54239,-96.8336,76664,America/Chicago
105.186.176.0,105.186.176.183,105.186.0.0,Cape Town,Western Cape,ZA,-33.9164,18.4153,8000,Africa/Johannesburg
102.109.8.54,102.109.8.54,102.109.0.0,Sfax,Şafāqis,TN,34.74056,10.76028,,Africa/Tunis
101.179.143.117,101.179.143.117,101.179.0.0,Perth,Western Australia,AU,-31.93605,115.83805,6007,Australia/Perth
102.171.93.191,102.171.93.191,102.171.0.0,Sousse,Sūsah,TN,35.82539,10.63699,,Africa/Tunis
1.1.113.89,1.1.113.89,1.1.0.0,Kurashiki,Okayama,JP,34.58333,133.76667,710-0824,Asia/Tokyo
106.212.249.8,106.212.249.15,106.212.0.0,Gajuwaka,Andhra Pradesh,IN,17.7167,83.2833,530004,Asia/Kolkata
101.181.53.0,101.181.53.23,101.181.0.0,Melbourne,Victoria,AU,-37.836,144.9835,3141,Australia/Melbourne
106.129.3.16,106.129.3.18,106.129.0.0,Sapporo,Hokkaido,JP,43.06667,141.35,065-0010,Asia/Tokyo
105.44.180.142,105.44.180.157,105.44.0.0,Suez,Suez,EG,29.97371,32.52627,,Africa/Cairo
105.225.147.117,105.225.147.117,105.225.0.0,Thohoyandou,Limpopo,ZA,-22.94564,30.48497,0929,Africa/Johannesburg
102.171.208.108,102.171.208.109,102.171.0.0,Sousse,Sūsah,TN,35.82539,10.63699,,Africa/Tunis
103.82.187.0,103.82.187.255,103.82.0.0,Mumbai,Maharashtra,IN,19.07283,72.88261,400070,Asia/Kolkata
109.1.99.134,109.1.99.135,109.1.0.0,Apprieu,Auvergne-Rhône-Alpes,FR,45.39591,5.49993,38140,Europe/Paris
101.179.2.160,101.179.2.161,101.179.0.0,Narangba,Queensland,AU,-27.1912,153.0232,4508,Australia/Brisbane
106.213.184.128,106.213.184.128,106.213.0.0,Ahmedabad,Gujarat,IN,23.0522,72.5338,380052,Asia/Kolkata
102.25.194.128,102.25.197.63,102.25.0.0,Tunis,Tūnis,TN,36.81897,10.16579,,Africa/Tunis
101.136.145.190,101.136.145.190,101.136.0.0,Fengshan,Takao,TW,22.62659,120.36126,,Asia/Taipei
101.183.131.216,101.183.131.217,101.183.0.0,Mackay,Queensland,AU,-21.15345,149.16554,9943,Australia/Brisbane
103.54.100.0,103.54.100.255,103.54.0.0,Chandīgarh,Chandigarh,IN,30.73629,76.7884,160001,Asia/Kolkata
106.128.222.116,106.128.222.119,106.128.0.0,Kushiro,Hokkaido,JP,42.9985,144.4017,085-0001,Asia/Tokyo
103.236.204.0,103.236.211.255,103.236.0.0,Hyderābād,Telangana,IN,17.38405,78.45636,500001,Asia/Kolkata
105.109.53.128,105.109.53.128,105.109.0.0,Constantine,Constantine,DZ,36.365,6.61472,04011,Africa/Algiers
102.173.169.28,102.173.169.31,102.173.0.0,Sfax,Şafāqis,TN,34.74056,10.76028,,Africa/Tunis
107.130.130.0,107.130.130.1,107.130.0.0,Mustang,Oklahoma,US,35.38423,-97.72449,73064,America/Chicago
108.170.172.16,108.170.172.255,108.170.0.0,Parry Sound,Ontario,CA,45.34732,-80.03527,P2A,America/Toronto
101.188.77.176,101.188.77.199,101.188.0.0,Melbourne,Victoria,AU,-37.7692,145.0921,3105,Australia/Melbourne
